source_row_index,Sample_ID,Sample_Name,Class_Label,Class_Name,feature,shap_value,display_name,feature_value_raw,feature_value_imputed,feature_value_scaled
36,XC,mean.XC,1,Promoted,OPR_FeP,0.008697088705104073,ORP x FeP,0.4796072094869783,0.4796072094869783,-0.006869866793936023
37,LS2,mean.LS2,1,Promoted,OPR_FeP,1.10890134061782,ORP x FeP,-0.0849826570967045,-0.0849826570967045,-0.8759258133346095
38,NJ,mean.NJ,1,Promoted,OPR_FeP,0.3321441335001225,ORP x FeP,0.3136244626013631,0.3136244626013631,-0.26236204216176834
39,BS,mean.BS,1,Promoted,OPR_FeP,-0.18864938103555295,ORP x FeP,0.5808791477002091,0.5808791477002091,0.14901493619493056
40,WL,mean.WL,0,Suppressed_or_neutral,OPR_FeP,0.3090146255489346,ORP x FeP,0.3254937912152135,0.3254937912152135,-0.24409194695845116
41,SN,mean.SN,1,Promoted,OPR_FeP,-0.08716063893992625,ORP x FeP,0.528798349739376,0.528798349739376,0.06884855375112375
0,YY,mean.YY,1,Promoted,FeII,0.6119312669527854,Fe(II),5.588016272,5.588016272,-0.5093696595075516
1,BB,mean.BB,1,Promoted,FeII,1.114538235933178,Fe(II),1.670276144,1.670276144,-0.9277381176687494
2,SQ,mean.SQ,1,Promoted,FeII,-1.0782493007782805,Fe(II),18.762700752,18.762700752,0.8975313223275206
3,CY,mean.CY,1,Promoted,FeII,0.7176183978771553,Fe(II),4.76420216,4.76420216,-0.5973432944573571
4,WZ,mean.WZ,1,Promoted,FeII,1.136913618960846,Fe(II),1.495863648,1.495863648,-0.9463633160360583
5,SH2,mean.SH2,0,Suppressed_or_neutral,FeII,-2.759321556074377,Fe(II),31.866387408,31.866387408,2.2968505735757705
6,WF,mean.WF,1,Promoted,FeII,0.6174155956228162,Fe(II),5.545266816,5.545266816,-0.5139347974211478
7,LS1,mean.LS1,1,Promoted,FeII,-0.22409337476556512,Fe(II),12.104693296,12.104693296,0.1865346194363383
8,DL,mean.DL,1,Promoted,FeII,1.0707603126181757,Fe(II),2.011517984,2.011517984,-0.891297512167493
9,ZY,mean.ZY,1,Promoted,FeII,0.4393853741418062,Fe(II),6.932983632,6.932983632,-0.365743001716038
10,BJ,mean.BJ,1,Promoted,FeII,1.2956620245418213,Fe(II),0.258445472,0.258445472,-1.0785049889085887
11,ZQ,mean.ZQ,1,Promoted,FeII,1.1709631148725146,Fe(II),1.230453328,1.230453328,-0.9747060092037023
12,RL,mean.RL,0,Suppressed_or_neutral,FeII,-1.8263653680946563,Fe(II),24.59414464,24.59414464,1.520260780782326
13,LZ,mean.LZ,1,Promoted,FeII,-2.1600504280290083,Fe(II),27.195165776,27.195165776,1.7980191738252365
14,HF,mean.HF,1,Promoted,FeII,0.24773535429612856,Fe(II),8.426864576,8.426864576,-0.2062141287438707
15,AY,mean.AY,1,Promoted,FeII,0.05803101993111778,Fe(II),9.905579216,9.905579216,-0.048304838238425914
16,MH,mean.MH,1,Promoted,FeII,-0.10054234674322465,Fe(II),11.141632992,11.141632992,0.08369113279945878
17,HZ,mean.HZ,1,Promoted,FeII,0.8187940428718277,Fe(II),3.975554352000001,3.975554352000001,-0.6815615827269276
18,HK,mean.HK,0,Suppressed_or_neutral,FeII,0.5327782772138114,Fe(II),6.205001040000001,6.205001040000001,-0.44348296011871846
19,GL,mean.GL,0,Suppressed_or_neutral,FeII,1.0600590424745084,Fe(II),2.094932656,2.094932656,-0.8823898086005192
20,YC2,mean.YC2,1,Promoted,FeII,-1.0792221435186138,Fe(II),18.770283904,18.770283904,0.8983411135608818
21,LY,mean.LY,1,Promoted,FeII,1.006820078952566,Fe(II),2.509921776,2.509921776,-0.8380738630258685
22,YT1,mean.YT1,0,Suppressed_or_neutral,FeII,-0.39531369706424146,Fe(II),13.439328048,13.439328048,0.32905787650791923
23,CQ,mean.CQ,1,Promoted,FeII,0.9861229942091707,Fe(II),2.671252208,2.671252208,-0.8208456748650637
24,SY,mean.SY,1,Promoted,FeII,1.323413700645813,Fe(II),0.04212564,0.04212564,-1.1016053967015196
25,TZ,mean.TZ,1,Promoted,FeII,0.8538163815238299,Fe(II),3.70256088,3.70256088,-0.710714067127933
26,SH1,mean.SH1,1,Promoted,FeII,1.0211453328611728,Fe(II),2.398258736,2.398258736,-0.8499981592660689
27,XN,mean.XN,0,Suppressed_or_neutral,FeII,-1.8993285736196603,Fe(II),25.16288104,25.16288104,1.5809951232844202
28,CF,mean.CF,0,Suppressed_or_neutral,FeII,0.8129569864298275,Fe(II),4.021053264,4.021053264,-0.6767028353267602
29,ATS,mean.ATS,1,Promoted,FeII,-1.6376338764699787,Fe(II),23.123013152,23.123013152,1.3631612815102423
30,YT2,mean.YT2,1,Promoted,FeII,1.1456692036238465,Fe(II),1.42761528,1.42761528,-0.9536514371363096
31,JC,mean.JC,1,Promoted,FeII,-0.03925325410222113,Fe(II),10.663894416,10.663894416,0.03267428509769966
32,XY,mean.XY,0,Suppressed_or_neutral,FeII,-1.7923158721829877,Fe(II),24.32873432,24.32873432,1.491918087614682
33,WH,mean.WH,1,Promoted,FeII,-2.443147665466025,Fe(II),29.401863008,29.401863008,2.033668422733362
34,TH1,mean.TH1,1,Promoted,FeII,0.3897703943848034,Fe(II),7.319724384,7.319724384,-0.324443648814614
35,YC1,mean.YC1,1,Promoted,FeII,0.9356668124644084,Fe(II),3.0645499936,3.0645499936,-0.7788461080781557
